github.com/AlDanial/cloc v 1.90  T=0.18 s (1483.3 files/s, 119475.7 lines/s)
-----------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                        blank        comment           code
src/main/webapp/i18n/en/login.json                                                                              0              0             19
src/test/resources/templates/mail/activationEmail.html                                                          0              0             19
src/test/resources/templates/mail/creationEmail.html                                                            0              0             19
src/main/java/com/assista/crise/config/ApplicationProperties.java                                              10              9             18
src/test/java/com/assista/crise/config/SpringBootTestClassOrderer.java                                          4              0             18
src/main/docker/jhipster-control-center.yml                                                                     2             32             17
src/main/java/com/assista/crise/web/rest/vm/KeyAndPasswordVM.java                                               7              3             17
src/main/webapp/app/_bootstrap-variables.scss                                                                   5              6             17
src/main/webapp/app/modules/administration/docs/docs.tsx                                                        3              0             16
src/main/webapp/app/shared/jhipster/problem-details.ts                                                          5             12             16
src/main/webapp/app/shared/layout/footer/footer.tsx                                                             3              0             16
src/test/javascript/cypress/support/management.ts                                                               3              3             16
src/main/webapp/app/shared/layout/menus/entities.tsx                                                            1              0             15
src/main/webapp/i18n/en/sessions.json                                                                           0              0             15
src/test/java/com/assista/crise/IntegrationTest.java                                                            2              3             15
src/main/docker/postgresql.yml                                                                                  0              5             14
src/main/java/com/assista/crise/config/DateTimeFormatConfiguration.java                                         3              3             14
src/main/java/com/assista/crise/config/LoggingAspectConfiguration.java                                          3              0             14
src/main/webapp/app/modules/account/index.tsx                                                                   4              0             14
src/main/webapp/app/shared/layout/menus/locale.tsx                                                              1              0             14
src/main/webapp/app/shared/layout/menus/menu-components.tsx                                                     2              0             14
src/main/webapp/i18n/en/error.json                                                                              0              0             14
src/main/java/com/assista/crise/web/rest/errors/ErrorConstants.java                                             4              0             13
src/main/webapp/app/config/constants.ts                                                                         2              0             13
src/main/webapp/app/config/logger-middleware.ts                                                                 2              1             13
src/main/webapp/app/entities/routes.tsx                                                                         3              1             13
src/main/webapp/app/shared/error/page-not-found.tsx                                                             2              0             13
src/test/java/com/assista/crise/domain/AuthorityTestSamples.java                                                5              0             13
src/main/docker/prometheus/prometheus.yml                                                                       4             15             12
src/main/java/com/assista/crise/security/SpringSecurityAuditorAware.java                                        3              3             12
src/main/webapp/app/entities/menu.tsx                                                                           3              0             12
src/main/webapp/i18n/en/password.json                                                                           0              0             12
src/test/java/com/assista/crise/config/AsyncSyncConfiguration.java                                              3              0             12
src/test/java/com/assista/crise/config/WebConfigurerTestController.java                                         4              2             12
src/test/javascript/cypress/e2e/account/logout.cy.ts                                                            4              0             12
src/main/java/com/assista/crise/ApplicationWebXml.java                                                          3              5             11
src/main/java/com/assista/crise/GeneratedByJHipster.java                                                        2              0             11
src/main/java/com/assista/crise/security/UserNotActivatedException.java                                         5              3             11
src/main/webapp/WEB-INF/web.xml                                                                                 2              0             11
src/main/webapp/app/config/translation.ts                                                                       5              1             11
src/main/webapp/i18n/en/logs.json                                                                               0              0             11
src/test/java/com/assista/crise/domain/AssertUtils.java                                                         4              0             11
src/test/javascript/cypress/tsconfig.json                                                                       0              0             11
src/main/docker/grafana/provisioning/dashboards/dashboard.yml                                                   1              0             10
src/main/docker/sonar.yml                                                                                       0              5             10
src/main/java/com/assista/crise/config/DatabaseConfiguration.java                                               2              0             10
src/main/webapp/app/modules/home/home.scss                                                                      0              0             10
src/main/webapp/i18n/en/configuration.json                                                                      0              0             10
src/main/webapp/i18n/en/activate.json                                                                           0              0              9
src/test/java/com/assista/crise/config/EmbeddedSQL.java                                                         2              0              9
src/main/java/com/assista/crise/web/rest/errors/EmailAlreadyUsedException.java                                  3              0              8
src/main/java/com/assista/crise/web/rest/errors/LoginAlreadyUsedException.java                                  3              0              8
src/main/webapp/app/config/dayjs.ts                                                                             2              2              8
src/main/webapp/app/typings.d.ts                                                                                1              0              8
src/main/java/com/assista/crise/config/Constants.java                                                           4              4              7
src/main/java/com/assista/crise/repository/AuthorityRepository.java                                             2              3              7
src/main/java/com/assista/crise/security/AuthoritiesConstants.java                                              5              3              7
src/main/java/com/assista/crise/service/EmailAlreadyUsedException.java                                          3              0              7
src/main/java/com/assista/crise/service/InvalidPasswordException.java                                           3              0              7
src/main/java/com/assista/crise/service/UsernameAlreadyUsedException.java                                       3              0              7
src/test/java/com/assista/crise/config/SqlTestContainer.java                                                    2              0              7
src/main/docker/services.yml                                                                                    0              1              6
src/main/webapp/app/shared/util/date-utils.ts                                                                   4              0              5
src/test/java/com/assista/crise/repository/timezone/DateTimeWrapperRepository.java                              2              3              5
src/test/javascript/cypress/support/index.ts                                                                    1             14              5
src/main/webapp/app/shared/layout/menus/index.ts                                                                0              0              4
src/main/webapp/app/shared/util/pagination.constants.ts                                                         0              0              4
src/main/webapp/app/entities/reducers.ts                                                                        2              2              3
src/main/webapp/app/modules/administration/docs/docs.scss                                                       0              0              3
src/main/webapp/app/shared/layout/footer/footer.scss                                                            0              0              3
src/main/webapp/app/setup-tests.ts                                                                              1              0              2
src/main/java/com/assista/crise/aop/logging/package-info.java                                                   0              3              1
src/main/java/com/assista/crise/config/package-info.java                                                        0              3              1
src/main/java/com/assista/crise/domain/package-info.java                                                        0              3              1
src/main/java/com/assista/crise/management/package-info.java                                                    0              3              1
src/main/java/com/assista/crise/package-info.java                                                               0              3              1
src/main/java/com/assista/crise/repository/package-info.java                                                    0              3              1
src/main/java/com/assista/crise/security/package-info.java                                                      0              3              1
src/main/java/com/assista/crise/service/dto/package-info.java                                                   0              3              1
src/main/java/com/assista/crise/service/mapper/package-info.java                                                0              3              1
src/main/java/com/assista/crise/service/package-info.java                                                       0              3              1
src/main/java/com/assista/crise/web/filter/package-info.java                                                    0              3              1
src/main/java/com/assista/crise/web/rest/errors/package-info.java                                               0              3              1
src/main/java/com/assista/crise/web/rest/package-info.java                                                      0              3              1
src/main/java/com/assista/crise/web/rest/vm/package-info.java                                                   0              3              1
src/main/webapp/content/images/jhipster_family_member_0.svg                                                     0              0              1
src/main/webapp/content/images/jhipster_family_member_1.svg                                                     0              0              1
src/main/webapp/content/images/jhipster_family_member_2.svg                                                     0              0              1
src/main/webapp/content/images/jhipster_family_member_3.svg                                                     0              0              1
src/test/resources/templates/mail/testEmail.html                                                                0              0              1
-----------------------------------------------------------------------------------------------------------------------------------------------
SUM:                                                                                                         2286           1055          18084
-----------------------------------------------------------------------------------------------------------------------------------------------

-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           108           1329            679           6427
TypeScript                     106            845            215           6086
JSON                            18              0              0           4322
Sass                             7             53              8            443
HTML                             7             26             10            316
YAML                            12             17            137            256
CSS                              1              2              0            150
XML                              2              8              2             51
Bourne Shell                     1              6              4             29
SVG                              4              0              0              4
-------------------------------------------------------------------------------
SUM:                           266           2286           1055          18084
-------------------------------------------------------------------------------
